Deciles,prob
9,0.9868161065208366
8,0.625657568295846
7,0.49182133931609784
6,0.39606983087829284
5,0.2884219297940799
4,0.2115145290142649
3,0.14375843913470562
2,0.08371992283001731
1,0.04058769415917992
0,0.012572195145713979
